Plugin,matric
cpu.cpu.percent-idle
cpu.cpu.percent-interrupt
cpu.cpu.percent-nice
cpu.cpu.percent-softirq
cpu.cpu.percent-steal
cpu.cpu.percent-system
cpu.cpu.percent-user
cpu.cpu.percent-wait
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-Critical
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-Degraded
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-Healthy
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Catastrophic
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Critical
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Grave
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Info
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Notice
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Serious
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Warning
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-Reweighted
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-Critical
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-Degraded
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-Healthy
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Catastrophic
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Critical
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Grave
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Info
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Notice
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Serious
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Warning
curl_json.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-Reweighted
curl_json.curl_json-spokes-sweeper.gauge-spokes-Fleet-Online
curl_json.curl_json-spokes-sweeper.gauge-spokes-Fleet-Unavailable
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Creating
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Destroying
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Dormant
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Failed
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Repairing
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Creating
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Destroying
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Dormant
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Failed
curl_json.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Repairing
curl_json.curl_json-spokes-sweeper.gauge-spokes-ReportLock
df.df-data-user.df_complex-free
df.df-data-user.df_complex-reserved
df.df-data-user.df_complex-used
df.df-dev-shm.df_complex-free
df.df-dev-shm.df_complex-reserved
df.df-dev-shm.df_complex-used
df.df-dev.df_complex-free
df.df-dev.df_complex-reserved
df.df-dev.df_complex-used
df.df-root.df_complex-free
df.df-root.df_complex-reserved
df.df-root.df_complex-used
df.df-run-lock.df_complex-free
df.df-run-lock.df_complex-reserved
df.df-run-lock.df_complex-used
df.df-run-user-501.df_complex-free
df.df-run-user-501.df_complex-reserved
df.df-run-user-501.df_complex-used
df.df-run.df_complex-free
df.df-run.df_complex-reserved
df.df-run.df_complex-used
df.df-sys-fs-cgroup.df_complex-free
df.df-sys-fs-cgroup.df_complex-reserved
df.df-sys-fs-cgroup.df_complex-used
disk.disk-{{ DISK_NAME }}.disk_io_time
disk.disk-{{ DISK_NAME }}.disk_octets
disk.disk-{{ DISK_NAME }}.disk_ops
